,Date,Open,High,Low,Close,Adj Close,Volume
0,"Dec 31, 2020",94.74,94.74,94.74,94.74,94.74,-
1,"Dec 30, 2020",94.28,94.28,94.28,94.28,94.28,-
2,"Dec 29, 2020",94.03,94.03,94.03,94.03,94.03,-
3,"Dec 28, 2020",94.40,94.40,94.40,94.40,94.40,-
4,"Dec 24, 2020",93.91,93.91,93.91,93.91,93.91,-
5,"Dec 23, 2020",93.66,93.66,93.66,93.66,93.66,-
6,"Dec 22, 2020",93.95,93.95,93.95,93.95,93.57,-
7,"Dec 21, 2020",93.93,93.93,93.93,93.93,93.55,-
8,"Dec 18, 2020",94.21,94.21,94.21,94.21,93.83,-
9,"Dec 17, 2020",94.42,94.42,94.42,94.42,94.04,-
10,"Dec 16, 2020",93.69,93.69,93.69,93.69,93.31,-
11,"Dec 15, 2020",93.57,93.57,93.57,93.57,93.19,-
12,"Dec 14, 2020",92.33,92.33,92.33,92.33,91.96,-
13,"Dec 11, 2020",92.59,92.59,92.59,92.59,92.22,-
14,"Dec 10, 2020",92.76,92.76,92.76,92.76,92.39,-
15,"Dec 09, 2020",92.62,92.62,92.62,92.62,92.25,-
16,"Dec 08, 2020",93.48,93.48,93.48,93.48,93.10,-
17,"Dec 07, 2020",93.10,93.10,93.10,93.10,92.73,-
18,"Dec 04, 2020",93.19,93.19,93.19,93.19,92.82,-
19,"Dec 03, 2020",92.23,92.23,92.23,92.23,91.86,-
20,"Dec 02, 2020",92.09,92.09,92.09,92.09,91.72,-
21,"Dec 01, 2020",91.99,91.99,91.99,91.99,91.62,-
22,"Nov 30, 2020",91.06,91.06,91.06,91.06,90.69,-
23,"Nov 27, 2020",91.58,91.58,91.58,91.58,91.21,-
24,"Nov 25, 2020",91.24,91.24,91.24,91.24,90.87,-
25,"Nov 24, 2020",91.29,91.29,91.29,91.29,90.92,-
26,"Nov 23, 2020",89.89,89.89,89.89,89.89,89.53,-
27,"Nov 20, 2020",89.18,89.18,89.18,89.18,88.82,-
28,"Nov 19, 2020",89.66,89.66,89.66,89.66,89.30,-
29,"Nov 18, 2020",89.16,89.16,89.16,89.16,88.80,-
30,"Nov 17, 2020",90.07,90.07,90.07,90.07,89.71,-
31,"Nov 16, 2020",90.28,90.28,90.28,90.28,89.92,-
32,"Nov 13, 2020",89.18,89.18,89.18,89.18,88.82,-
33,"Nov 12, 2020",87.97,87.97,87.97,87.97,87.62,-
34,"Nov 11, 2020",88.84,88.84,88.84,88.84,88.48,-
35,"Nov 10, 2020",88.16,88.16,88.16,88.16,87.81,-
36,"Nov 09, 2020",88.20,88.20,88.20,88.20,87.85,-
37,"Nov 06, 2020",87.23,87.23,87.23,87.23,86.88,-
38,"Nov 05, 2020",87.29,87.29,87.29,87.29,86.94,-
39,"Nov 04, 2020",85.51,85.51,85.51,85.51,85.17,-
40,"Nov 03, 2020",83.76,83.76,83.76,83.76,83.42,-
41,"Nov 02, 2020",82.18,82.18,82.18,82.18,81.85,-
42,"Oct 30, 2020",81.16,81.16,81.16,81.16,80.83,-
43,"Oct 29, 2020",82.26,82.26,82.26,82.26,81.93,-
44,"Oct 28, 2020",81.33,81.33,81.33,81.33,81.00,-
45,"Oct 27, 2020",84.19,84.19,84.19,84.19,83.85,-
46,"Oct 26, 2020",84.48,84.48,84.48,84.48,84.14,-
47,"Oct 23, 2020",86.10,86.10,86.10,86.10,85.75,-
48,"Oct 22, 2020",85.76,85.76,85.76,85.76,85.41,-
49,"Oct 21, 2020",85.21,85.21,85.21,85.21,84.87,-
50,"Oct 20, 2020",85.48,85.48,85.48,85.48,85.14,-
51,"Oct 19, 2020",85.16,85.16,85.16,85.16,84.82,-
52,"Oct 16, 2020",86.49,86.49,86.49,86.49,86.14,-
53,"Oct 15, 2020",86.53,86.53,86.53,86.53,86.18,-
54,"Oct 14, 2020",86.58,86.58,86.58,86.58,86.23,-
55,"Oct 13, 2020",87.14,87.14,87.14,87.14,86.79,-
56,"Oct 12, 2020",87.59,87.59,87.59,87.59,87.24,-
57,"Oct 09, 2020",86.32,86.32,86.32,86.32,85.97,-
58,"Oct 08, 2020",85.59,85.59,85.59,85.59,85.25,-
59,"Oct 07, 2020",84.88,84.88,84.88,84.88,84.54,-
60,"Oct 06, 2020",83.40,83.40,83.40,83.40,83.06,-
61,"Oct 05, 2020",84.45,84.45,84.45,84.45,84.11,-
62,"Oct 02, 2020",82.89,82.89,82.89,82.89,82.56,-
63,"Oct 01, 2020",83.57,83.57,83.57,83.57,83.23,-
64,"Sep 30, 2020",82.94,82.94,82.94,82.94,82.61,-
65,"Sep 29, 2020",82.31,82.31,82.31,82.31,81.98,-
66,"Sep 28, 2020",82.68,82.68,82.68,82.68,82.35,-
67,"Sep 25, 2020",81.30,81.30,81.30,81.30,80.97,-
68,"Sep 24, 2020",79.96,79.96,79.96,79.96,79.64,-
69,"Sep 23, 2020",80.11,80.11,80.11,80.11,79.46,-
70,"Sep 22, 2020",82.11,82.11,82.11,82.11,81.45,-
71,"Sep 21, 2020",81.31,81.31,81.31,81.31,80.65,-
72,"Sep 18, 2020",82.31,82.31,82.31,82.31,81.65,-
73,"Sep 17, 2020",83.09,83.09,83.09,83.09,82.42,-
74,"Sep 16, 2020",83.80,83.80,83.80,83.80,83.12,-
75,"Sep 15, 2020",84.08,84.08,84.08,84.08,83.40,-
76,"Sep 14, 2020",83.60,83.60,83.60,83.60,82.92,-
77,"Sep 11, 2020",82.30,82.30,82.30,82.30,81.64,-
78,"Sep 10, 2020",82.32,82.32,82.32,82.32,81.66,-
79,"Sep 09, 2020",83.69,83.69,83.69,83.69,83.01,-
80,"Sep 08, 2020",82.03,82.03,82.03,82.03,81.37,-
81,"Sep 04, 2020",84.42,84.42,84.42,84.42,83.74,-
82,"Sep 03, 2020",85.14,85.14,85.14,85.14,84.45,-
83,"Sep 02, 2020",88.27,88.27,88.27,88.27,87.56,-
84,"Sep 01, 2020",87.08,87.08,87.08,87.08,86.38,-
85,"Aug 31, 2020",86.35,86.35,86.35,86.35,85.65,-
86,"Aug 28, 2020",86.47,86.47,86.47,86.47,85.77,-
87,"Aug 27, 2020",85.88,85.88,85.88,85.88,85.19,-
88,"Aug 26, 2020",85.68,85.68,85.68,85.68,84.99,-
89,"Aug 25, 2020",84.89,84.89,84.89,84.89,84.20,-
90,"Aug 24, 2020",84.59,84.59,84.59,84.59,83.91,-
91,"Aug 21, 2020",83.80,83.80,83.80,83.80,83.12,-
92,"Aug 20, 2020",83.61,83.61,83.61,83.61,82.93,-
93,"Aug 19, 2020",83.35,83.35,83.35,83.35,82.68,-
94,"Aug 18, 2020",83.70,83.70,83.70,83.70,83.02,-
95,"Aug 17, 2020",83.56,83.56,83.56,83.56,82.89,-
96,"Aug 14, 2020",83.20,83.20,83.20,83.20,82.53,-
97,"Aug 13, 2020",83.24,83.24,83.24,83.24,82.57,-
98,"Aug 12, 2020",83.31,83.31,83.31,83.31,82.64,-
99,"Aug 11, 2020",82.20,82.20,82.20,82.20,81.54,-
100,"Aug 10, 2020",82.86,82.86,82.86,82.86,82.19,-
101,"Aug 07, 2020",82.67,82.67,82.67,82.67,82.00,-
102,"Aug 06, 2020",82.59,82.59,82.59,82.59,81.92,-
103,"Aug 05, 2020",82.18,82.18,82.18,82.18,81.52,-
104,"Aug 04, 2020",81.57,81.57,81.57,81.57,80.91,-
105,"Aug 03, 2020",81.27,81.27,81.27,81.27,80.61,-
106,"Jul 31, 2020",80.57,80.57,80.57,80.57,79.92,-
107,"Jul 30, 2020",80.12,80.12,80.12,80.12,79.47,-
108,"Jul 29, 2020",80.38,80.38,80.38,80.38,79.73,-
109,"Jul 28, 2020",79.28,79.28,79.28,79.28,78.64,-
110,"Jul 27, 2020",79.85,79.85,79.85,79.85,79.21,-
111,"Jul 24, 2020",79.17,79.17,79.17,79.17,78.53,-
112,"Jul 23, 2020",79.77,79.77,79.77,79.77,79.13,-
113,"Jul 22, 2020",80.69,80.69,80.69,80.69,80.04,-
114,"Jul 21, 2020",80.24,80.24,80.24,80.24,79.59,-
115,"Jul 20, 2020",80.08,80.08,80.08,80.08,79.43,-
116,"Jul 17, 2020",79.40,79.40,79.40,79.40,78.76,-
117,"Jul 16, 2020",79.12,79.12,79.12,79.12,78.48,-
118,"Jul 15, 2020",79.44,79.44,79.44,79.44,78.80,-
119,"Jul 14, 2020",78.51,78.51,78.51,78.51,77.88,-
120,"Jul 13, 2020",77.45,77.45,77.45,77.45,76.82,-
121,"Jul 10, 2020",78.34,78.34,78.34,78.34,77.71,-
122,"Jul 09, 2020",77.50,77.50,77.50,77.50,76.87,-
123,"Jul 08, 2020",77.96,77.96,77.96,77.96,77.33,-
124,"Jul 07, 2020",77.31,77.31,77.31,77.31,76.69,-
125,"Jul 06, 2020",78.17,78.17,78.17,78.17,77.54,-
126,"Jul 02, 2020",76.98,76.98,76.98,76.98,76.36,-
127,"Jul 01, 2020",76.61,76.61,76.61,76.61,75.99,-
128,"Jun 30, 2020",76.26,76.26,76.26,76.26,75.64,-
129,"Jun 29, 2020",75.09,75.09,75.09,75.09,74.48,-
130,"Jun 26, 2020",73.95,73.95,73.95,73.95,73.35,-
131,"Jun 25, 2020",75.76,75.76,75.76,75.76,75.15,-
132,"Jun 24, 2020",74.87,74.87,74.87,74.87,74.27,-
133,"Jun 23, 2020",77.28,77.28,77.28,77.28,76.32,-
134,"Jun 22, 2020",76.98,76.98,76.98,76.98,76.02,-
135,"Jun 19, 2020",76.88,76.88,76.88,76.88,75.92,-
136,"Jun 18, 2020",76.88,76.88,76.88,76.88,75.92,-
137,"Jun 17, 2020",76.81,76.81,76.81,76.81,75.86,-
138,"Jun 16, 2020",77.16,77.16,77.16,77.16,76.20,-
139,"Jun 15, 2020",75.71,75.71,75.71,75.71,74.77,-
140,"Jun 12, 2020",74.94,74.94,74.94,74.94,74.01,-
